id,date,screenName,texte,type,nbre_like,nbre_retweet,type_vaccin
1372249589189898245,2021-03-17 18:12:51,Fraslin,Le conseil néerlandais de la santé recommande que le vaccin à dose unique Janssen soit d'abord administré aux personnes les plus vulnérables au #SARSCoV2 à savoir les plus de 60 ans et les personnes à risque médical.  https://t.co/AKrzRUyaZM,tweet,5,1,janssen
1371525427945218049,2021-03-15 18:15:18,Fraslin,"@ninipotdechien Le vaccin Janssen J&amp;J monodose ne joue pas dans la même catégorie que les bi-doses Pfizer-BioNTech/Moderna ou AstraZeneca. A mon avis, il est surtout intéressant pour vacciner les moins de 50 ans sans comorbidités.",tweet,1,0,janssen
1371458124524228612,2021-03-15 13:47:52,socarre,"Un accord avec IDT Biologika va permettre à Johnson &amp; Johnson d'utiliser ""pendant trois mois"" un site allemand  pour ""l'embouteillage et le conditionnement"". Cela va ↗️la fiabilité des livraisons du vaccin Janssen dans l'UE. https://t.co/Cq1JinDmWy
Vaccins: accord de production entre Johnson &amp; Johnson et IDT Biologika

https://t.co/jVpSgZwP6A https://t.co/j78QmPCzlk",quote,0,0,janssen
1371046316755849216,2021-03-14 10:31:29,philtcheng,"@DocArnica Ça c’est pour Pfizer et Modernz et maintenant Janssen AZ c’est anglo-suédois et à ma connaissance ils ne fabriquent pas aux US
Le patron est Français Pascal Soriot",tweet,0,0,janssen
1370433187487363072,2021-03-12 17:55:07,FredTlse31500,@ThekEtMat82 C'est le vaccin de madame Janssen ?,tweet,0,0,janssen
1370013942240710663,2021-03-11 14:09:12,Walid_Ry,"Covid-19 : le vaccin Janssen de Johnson &amp;amp; Johnson autorisé dans l’Union européenne 
https://t.co/KUVhmy4xYY
via Le Monde",tweet,0,0,janssen
1370004625177317378,2021-03-11 13:32:10,Insoumis50210,"Covid-19 : l'Union européenne donne son feu vert au vaccin à dose unique de Janssen, voici comment cela pourrait changer la stratégie vaccinale en France https://t.co/HxStM3htjW",tweet,0,1,janssen
1369380987352780813,2021-03-09 20:14:03,Fraslin,"Johnson &amp; Johnson confirms delivery of 200 million doses to EU in 2021.
Johnson &amp; Johnson livrera 200 millions de vaccins unidoses contre le coronavirus à l'UE en 2021, via sa filiale Janssen Pharmaceutica.
https://t.co/TPnXjxwPUQ",tweet,21,10,janssen
1369172599587094528,2021-03-09 06:26:00,joeljosie,"Le Journal des Femmes: Vaccin Covid-19 : Pfizer, Moderna, des effets secondaires ?.
https://t.co/Z10gbxdAQJ

via @GoogleNews",tweet,0,0,janssen
1368705414729187329,2021-03-07 23:29:34,sammy88249403,@RumainJean @UPR_Asselineau Le vaccin non ARNm monodose de Janssen arrive bientôt 🙏,tweet,0,0,janssen
1368611940696752132,2021-03-07 17:18:08,sammy88249403,@TBourdil @CortotAlfred Janssen une seule dose,tweet,1,0,janssen
1368600655359795208,2021-03-07 16:33:18,sammy88249403,@ErikBoesch @f_philippot J'attends le Janssen,tweet,0,0,janssen
1368504786102984710,2021-03-07 10:12:21,sammy88249403,@MpbRoro @FilRouge06 C'est pas faute d'avoir averti du danger pour les moins de 50/60 ans qui devraient préférer un vaccin traditionnel comme Janssen,tweet,0,0,janssen
1367513573447118851,2021-03-04 16:33:37,socarre,"@philousports Il y a une 2e injection, 12 semaines après, pour une efficacité maximum. Le Janssen (Johnson &amp; Johnson) est le seul qui ne nécessite qu’une injection. Sa livraison est prévue en avril.",tweet,0,0,janssen
1366382071409643528,2021-03-01 13:37:26,luna431168,"@Drmartyufml Ne pas passer à côté de la territorialisation des vaccins.. Variant sud africain present en Moselle et dans le Haut Rhin à plus de 20%..reorienter l Astra Zeneca vers d autres départements voir régions.. Privilégier. Dans le grand est les vaccins arnm ou peut être le Janssen. 
.",tweet,3,1,janssen
1366307752096768000,2021-03-01 08:42:07,socarre,"@thierrycogne @dc_morel Vaccinons en pharmacie et chez les médecins, avec AztraZeneca et Janssen qui va arriver en avril. Ouvrons plus de RDV sur les centres de vaccinations pour Pfizer et Moderna. Espérons que des millions de vaccinations auront lieu entre avril et juin.🙏",tweet,2,0,janssen
